Timestamp,Date,Describe,Category
10/15/2024 12:33:05,10/14/2024,Dharmik buying iPhone worth 1.4L. I can never think of buying it even at 4L salary and he is just earning below 50k. How these things happen? I wonder.,Personal
10/15/2024 12:33:54,10/15/2024,A child by mistake deleted his matches from father's phone and was very concerned if he can get back. Support team aise cases mein illegally bhi kar denge.,CH-Grassroots
10/15/2024 12:39:45,10/14/2024,"I had negative feelings for the whole incident where by Payal felt that I have pulled her down always, my bhabhi when she got money for my brother she had a return condition but never did they think on returning money that me or my father gave and we all are in bad condition.
She looks to them as if they have cheated us. She also blamed me for being optimistic. I was feeling very negative and I did not want to be negative.

Then this line occurs to me.
No one cheated us everyone believed in some story and that got wrong

And it started making me positive and I started finding solutions again.",Personal
10/16/2024 22:07:25,10/16/2024,"Gali bam to Montu
How childhood moments resurface and you enjoy a lot.i did to her when she hit Shaurya and Shaurya complained ",Personal
10/16/2024 22:10:18,10/16/2024,"I was on my way to doing errands and meet this shingoda seller . He said itne mein kya time lagta hai. How we do not have time. How much was he courteous and thankful and I was not  I was only transacting.he also asked mp kitne din ke liye Jaa rahe ho.

Why do we not have time ?",Personal
10/16/2024 22:14:44,10/16/2024,"Standup support
Emotions 
Dharmik - iphone reminding father 
Ronak - sister can not think if he will meet again or not. I want to make her feel proud.
How i have lost those emotions in the process of being responsible?",Personal
10/22/2024 19:37:28,10/22/2024,"Ravibhai was looking for supporting me and I thought he was with some other negative intentions.

How we can not trust others how i wish i could have thought positively ",Personal
10/24/2024 13:17:46,10/24/2024,"Ashish on DB3 work ""tame kehsho to hun kari daish""
At what all level I want him to commit after disagreement.

- If things fail I am 100% there in all the cases.

But after you committing
- If you see any issues bring to my notice.
- If you talk to anyone say that I was in disagreement but now I decided to commit on these basis.
- When you commit understand / not agree on the basis of which we are committing.",CH-Culture
10/28/2024 19:44:23,10/28/2024,"Rick driver on way back from office 
How we do not have time for anyone these days ?
Earning and spending money is the main time killing activity ",Personal
10/28/2024 19:45:42,10/28/2024,Rick driver from pakwan to karnavati how bums ache after driving rickshaw for a man with weight ,Personal
10/28/2024 19:47:24,10/28/2024,"Many people in order to meet ends need to earn in multiple ways 

Rick driving in side with a day job
Rick driving in side with tea stall

How money making has become harder ?",Personal
11/2/2024 13:26:23,11/2/2024,"What you feel inside
Dance example 
How you see from.outside 
How the one feels inside ",Personal
